name,author,rating,total_review,type,current_price,first_price,book_url,asin
SQL [6 BOOKS in 1]: The Ultimate Beginner to Advanced Guide to Master SQL Quickly with Step-by-Step Practical Examples | Includes Interview Questions & Answers,Liam DeSantis,4.9,154,Kindle,0.00,0.00,https://www.amazon.com//SQL-BOOKS-Step-Step-Practical-ebook/dp/B0BRWZ452Y/ref=sr_1_13?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-13,B0BRWZ452Y
"SQL for Data Analytics: Harness the power of SQL to extract insights from data, 3rd Edition",Jun Shan,4.6,36,Paperback,44.99,44.99,https://www.amazon.com//SQL-Data-Analytics-Harness-insights/dp/180181287X/ref=sr_1_14?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-14,180181287X
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",Sylvia Moestl Vasilik,4.4,496,Paperback,19.49,19.49,https://www.amazon.com//SQL-Practice-Problems-learn-doing/dp/1520807635/ref=sr_1_15?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-15,1520807635
T-SQL Fundamentals (Developer Reference),Part of: Developer Reference (71 books),4.7,358,Paperback,47.49,49.99,https://www.amazon.com//T-SQL-Fundamentals-3rd-Itzik-Ben-Gan/dp/150930200X/ref=sr_1_16?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-16,150930200X
"The Microsoft Office 365 Bible: The Most Updated and Complete Guide to Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Teams, Access, and Publisher from Beginners to Advanced",James Holler,5.0,699,Paperback,24.35,27.97,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0093338210FC9ZM95F8G&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FMicrosoft-Office-365-Bible-PowerPoint%2Fdp%2FB0BPGMWG6L%2Fref%3Dsr_1_17_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-17-spons%26psc%3D1,B0BPGMWG6L
Python Programming for Beginners: 2 Books in 1 - The Ultimate Step-by-Step Guide To Learn Python Programming Quickly with Practical Exercises,Part of: Computer Programming (28 books),4.7,199,Paperback,21.99,21.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0169332PEP6HAD33SM2&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FPython-Programming-Beginners-Step-Step%2Fdp%2FB0B7QPFY8K%2Fref%3Dsr_1_18_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-18-spons%26psc%3D1,B0B7QPFY8K
"Microsoft Power BI Cookbook: Gain expertise in Power BI with over 90 hands-on recipes, tips, and use cases, 2nd Edition",Greg Deckler,4.6,60,Paperback,51.99,51.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06168121HJTBQ8CZ0A1N&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FMicrosoft-Power-Cookbook-expertise-hands%2Fdp%2F1801813043%2Fref%3Dsr_1_19_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-19-spons%26psc%3D1,1801813043
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,4.9,194,Paperback,15.97,15.97,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1675411630&id=5298502975948635&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_20_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-20-spons%26psc%3D1,B0BG5JN89K
Data Analysis Using SQL and Excel,Gordon S. Linoff,4.4,96,Paperback,35.74,50.00,https://www.amazon.com//Data-Analysis-Using-SQL-Excel/dp/111902143X/ref=sr_1_21?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-21,111902143X
The Big Book Of SQL Queries: 250+ SQL Practice Queries (SQL Series),Part of: SQL Series (5 books),4.6,7,Paperback,24.95,24.95,https://www.amazon.com//Big-Book-SQL-Queries-Practice/dp/1935208497/ref=sr_1_22?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-22,1935208497
Head First SQL: Your Brain on SQL -- A Learner's Guide,Part of: Head First (26 books),4.4,298,Paperback,52.77,59.99,https://www.amazon.com//Head-First-SQL-Brain-Learners/dp/0596526849/ref=sr_1_23?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-23,0596526849
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,4.9,194,Paperback,15.97,15.97,https://www.amazon.com//SQL-Data-Analytics-efficient-analysis/dp/B0BG5JN89K/ref=sr_1_24?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-24,B0BG5JN89K
